ElementID,Name,Abstract Data Type,Data Type Semantics
289,tunnelTechnology,string,default
290,encryptedTechnology,string,default
291,basicList,basicList,list
292,subTemplateList,subTemplateList,list
293,subTemplateMultiList,subTemplateMultiList,list
294,bgpValidityState,unsigned8,identifier
295,IPSecSPI,unsigned32,identifier
296,greKey,unsigned32,identifier
297,natType,unsigned8,identifier
298,initiatorPackets,unsigned64,deltaCounter
299,responderPackets,unsigned64,deltaCounter
300,observationDomainName,string,default
301,selectionSequenceId,unsigned64,identifier
302,selectorId,unsigned64,identifier
303,informationElementId,unsigned16,identifier
304,selectorAlgorithm,unsigned16,identifier
305,samplingPacketInterval,unsigned32,quantity
306,samplingPacketSpace,unsigned32,quantity
307,samplingTimeInterval,unsigned32,quantity
308,samplingTimeSpace,unsigned32,quantity
309,samplingSize,unsigned32,quantity
310,samplingPopulation,unsigned32,quantity
311,samplingProbability,float64,quantity
312,dataLinkFrameSize,unsigned16,quantity
313,ipHeaderPacketSection,octetArray,default
314,ipPayloadPacketSection,octetArray,default
315,dataLinkFrameSection,octetArray,default
316,mplsLabelStackSection,octetArray,default
317,mplsPayloadPacketSection,octetArray,default
318,selectorIdTotalPktsObserved,unsigned64,totalCounter
319,selectorIdTotalPktsSelected,unsigned64,totalCounter
320,absoluteError,float64,quantity
321,relativeError,float64,quantity
322,observationTimeSeconds,dateTimeSeconds,default
323,observationTimeMilliseconds,dateTimeMilliseconds,default
324,observationTimeMicroseconds,dateTimeMicroseconds,default
325,observationTimeNanoseconds,dateTimeNanoseconds,default
326,digestHashValue,unsigned64,quantity
327,hashIPPayloadOffset,unsigned64,quantity
328,hashIPPayloadSize,unsigned64,quantity
329,hashOutputRangeMin,unsigned64,quantity
330,hashOutputRangeMax,unsigned64,quantity
331,hashSelectedRangeMin,unsigned64,quantity
332,hashSelectedRangeMax,unsigned64,quantity
333,hashDigestOutput,boolean,default
334,hashInitialiserValue,unsigned64,quantity
335,selectorName,string,default
336,upperCILimit,float64,quantity
337,lowerCILimit,float64,quantity
338,confidenceLevel,float64,quantity
339,informationElementDataType,unsigned8,
340,informationElementDescription,string,default
341,informationElementName,string,default
342,informationElementRangeBegin,unsigned64,quantity
343,informationElementRangeEnd,unsigned64,quantity
344,informationElementSemantics,unsigned8,
345,informationElementUnits,unsigned16,
346,privateEnterpriseNumber,unsigned32,identifier
347,virtualStationInterfaceId,octetArray,default
348,virtualStationInterfaceName,string,default
349,virtualStationUUID,octetArray,default
